author,link,category,date of publication,number of tokens,number of words without punctuation,number of types,number of links inside the news,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,emotiveness,diversity
Josias Oliveira,https://afolhabrasil.com.br/politica/quatro-ex-presidentes-presos-ate-2019-e-o-que-lava-jato-esta-preparando/,politica,2017-07-13,571,534,292,2,5,76,4,152,30,24,16,0,0,34,1.48,2580,21.36,4.83146,0.0,0.236842,0.546816
Josias Oliveira,https://afolhabrasil.com.br/politica/se-lula-for-preso-nos-vamos-incendiar-o-brasil-diz-lider-da-esquerda/,politica,2017-07-12,370,330,191,0,4,60,5,101,14,12,14,0,3,15,1.48148,1585,12.2222,4.80303,0.0,0.161491,0.578788
Josias Oliveira,https://afolhabrasil.com.br/politica/urgente-moro-acaba-de-condenar-lula-primeiro-ex-presidente-atras-das-grades/,politica,2017-07-12,459,419,233,6,13,64,2,128,20,14,9,0,0,12,2.10526,2041,22.0526,4.87112,0.0,0.177083,0.556086
Josias Oliveira,https://afolhabrasil.com.br/politica/ex-namorada-humilha-eduardo-bolsonaro/,politica,2017-07-12,216,191,130,0,2,42,0,50,10,10,12,1,0,7,2.27273,990,17.3636,5.18325,0.00515464,0.217391,0.680628
Josias Oliveira,https://afolhabrasil.com.br/politica/dilma-e-jean-willys-viraram-professores-em-universidade-federal/,politica,2017-07-12,297,264,165,0,9,39,3,80,7,3,4,0,2,10,2.35714,1284,18.8571,4.86364,0.0,0.0840336,0.625
Josias Oliveira,https://afolhabrasil.com.br/politica/lula-e-corrupto-afirma-laudo-da-policia-federal/,politica,2017-07-07,859,754,381,3,18,115,6,223,49,37,19,0,0,36,3.08824,3997,22.1765,5.30106,0.0,0.254438,0.505305
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-ja-tem-novo-partido-para-concorrer-presidencia/,politica,2017-07-07,280,241,147,0,11,36,2,77,14,6,10,0,0,9,2.4375,1177,15.0625,4.88382,0.0,0.176991,0.609959
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-tirou-verba-da-policia-federal-para-salvar-o-mandato/,politica,2017-07-06,340,296,174,0,2,52,4,81,5,16,8,0,0,17,2.93333,1400,19.7333,4.72973,0.00668896,0.157895,0.587838
Josias Olveira,https://afolhabrasil.com.br/politica/imprensa-americana-aponta-bolsonaro-como-proximo-presidente-do-brasil/,politica,2017-07-05,913,804,406,0,4,133,4,209,54,46,23,6,0,64,2.47727,4003,18.2727,4.97886,0.0,0.292398,0.504975
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-esta-na-mira-de-presidenciaveis-e-mesmo-assim-so-cresce-nas-pesquisas/,politica,2017-07-03,510,457,257,0,6,77,3,123,26,24,8,2,0,32,1.76667,2182,15.2333,4.77462,0.00652174,0.25,0.562363
Josias Oliveira,https://afolhabrasil.com.br/politica/lula-temer-e-inocente-janot-nao-tem-provas/,politica,2017-07-02,358,311,190,0,1,70,2,79,12,14,13,7,0,34,1.74074,1476,11.5185,4.74598,0.0,0.174497,0.610932
Josias Oliveira,https://afolhabrasil.com.br/politica/urgente-eduardo-cunha-avisa-que-vai-delatar-temer/,politica,2017-07-01,248,227,151,0,5,35,0,71,11,7,6,0,0,6,1.4,1104,15.1333,4.86344,0.0,0.169811,0.665198
Josias Oliveira,https://afolhabrasil.com.br/politica/boechat-esculacha-reinaldo-azevedo-na-band-news/,tv_celebridades,2017-06-30,223,200,131,0,2,25,1,61,7,10,5,0,0,14,2.09091,1026,18.1818,5.13,0.00985222,0.197674,0.655
Josias Oliveira,https://afolhabrasil.com.br/politica/gilmar-mendes/,politica,2017-06-30,431,377,223,0,5,64,1,110,23,12,5,0,0,24,2.16,1968,15.08,5.22016,0.0,0.201149,0.591512
Josias Oliveira,https://afolhabrasil.com.br/politica/stf-pede-urgencia-para-impeachment-de-temer/,politica,2017-06-30,289,254,150,0,8,38,6,85,10,9,5,0,0,6,2.69231,1310,19.5385,5.15748,0.0,0.154472,0.590551
Josias Oliveira,https://afolhabrasil.com.br/politica/terrorista-tenta-invadir-residencia-oficial-de-temer-e-e-alvejado-por-tiros-do-exercito/,politica,2017-06-28,277,253,149,0,2,55,1,69,9,3,12,0,0,12,1.6,1180,16.8667,4.66403,0.00390625,0.0967742,0.588933
Josias Oliveira,https://afolhabrasil.com.br/politica/cor-do-luto-sera-mudada-pra-cinza-pra-evitar-preconceito-com-negros/,sociedade_cotidiano,2017-06-28,387,331,194,0,2,49,1,100,27,10,10,0,0,14,4.30769,1560,25.4615,4.71299,0.00299401,0.248322,0.586103
Josias Oliveira,https://afolhabrasil.com.br/politica/populacao-esta-enviando-fezes-para-os-deputados-pelos-correios/,sociedade_cotidiano,2017-06-28,254,224,149,0,2,34,3,61,13,12,9,0,0,14,2.5,1154,18.6667,5.15179,0.0,0.263158,0.665179
Josias Oliveira,https://afolhabrasil.com.br/politica/perigo-dormir-mais-de-10h-eleva-risco-de-avc/,sociedade_cotidiano,2017-06-28,868,760,358,4,6,118,1,192,38,56,7,0,0,61,3.0,3621,21.1111,4.76447,0.00524246,0.303226,0.471053
Josias Oliveira,https://afolhabrasil.com.br/politica/inimigos-de-reinaldo-azevedo-agora-estao-juntos-na-jovem-pan/,tv_celebridades,2017-06-27,378,335,174,0,6,52,0,85,11,19,8,0,0,26,2.38889,1619,18.6111,4.83284,0.0,0.218978,0.519403
Josias Oliveira,https://afolhabrasil.com.br/politica/sentenca-de-palocci-da-sinais-da-condenacao-de-lula/,politica,2017-06-26,873,775,321,0,2,97,1,242,24,20,10,1,0,28,4.08333,3819,32.2917,4.92774,0.0,0.129794,0.414194
Josias Oliveira,https://afolhabrasil.com.br/politica/pesquisa-aponta-bolsonaro-pode-vencer-no-primeiro-turno/,politica,2017-06-26,343,261,156,0,13,21,1,104,13,2,3,0,0,5,8.2,1224,26.1,4.68966,0.0,0.12,0.597701
Josias Oliveira,https://afolhabrasil.com.br/politica/sentenca-de-lula-ja-esta-pronta-sua-liberdade-esta-com-dias-contados/,politica,2017-06-25,393,346,229,0,3,50,0,109,28,20,8,2,0,15,2.04348,1685,15.0435,4.86994,0.0,0.301887,0.66185
Josias Oliveira,https://afolhabrasil.com.br/politica/joao-doria-bate-boca-com-fhc-tucanos-em-guerra/,politica,2017-06-24,405,354,199,4,13,56,2,101,19,18,7,2,0,20,2.125,1727,14.75,4.87853,0.0,0.235669,0.562147
Josias Oliveira,https://afolhabrasil.com.br/politica/esquerda-desiste-de-lula-e-o-deixa-revoltado/,politica,2017-06-22,335,296,171,0,7,31,1,99,10,14,3,0,0,9,3.0,1406,22.7692,4.75,0.0,0.184615,0.577703
Josias Oliveira,https://afolhabrasil.com.br/politica/joaquim-barbosa-desiste-e-fortalece-bolsonaro-nas-eleicoes-de-2018/,politica,2017-06-22,385,325,203,0,4,44,4,95,24,15,4,2,0,20,3.15789,1639,17.1053,5.04308,0.00307692,0.280576,0.624615
Josias Oliveira,https://afolhabrasil.com.br/politica/geraldo-alckmin-comprou-6-mil-metralhadoras-estragadas/,politica,2017-06-20,217,185,129,0,4,27,2,58,7,8,2,0,0,8,2.66667,920,15.4167,4.97297,0.0,0.176471,0.697297
Josias Oliveira,https://afolhabrasil.com.br/politica/temer-e-o-lider-da-mais-perigosa-organizacao-criminosa-do-brasil/,politica,2017-06-17,1476,1211,505,0,37,245,4,290,32,109,26,25,0,144,2.5,5435,11.4245,4.48803,0.000825764,0.263551,0.417011
Josias Oliveira,https://afolhabrasil.com.br/politica/alexandre-frota-e-cotado-para-o-ministerio-da-cultura/,politica,2017-06-16,389,356,211,0,5,40,0,117,17,11,4,0,0,15,1.73684,1765,18.7368,4.95787,0.00280899,0.178344,0.592697
Josias Oliveira,https://afolhabrasil.com.br/politica/aecio-chora-muito-e-tem-medo-de-ir-para-cadeia/,politica,2017-06-15,202,175,119,0,3,37,1,45,10,9,6,0,0,10,3.0,827,19.4444,4.72571,0.0,0.231707,0.68
Josias Oliveira,https://afolhabrasil.com.br/politica/silvio-santos-sugere-doria-ter-bolsonaro-como-vice-presidencia-em-2018/,politica,2017-06-14,718,606,254,0,4,123,8,128,16,52,14,14,1,85,3.29412,2670,17.8235,4.40594,0.00495049,0.270916,0.419142
Josias Oliveira,https://afolhabrasil.com.br/politica/gilmar-mendes-recebeu-r-2-milhoes-da-friboi/,politica,2017-06-14,501,441,238,0,20,57,1,147,7,7,8,0,0,12,2.85714,2098,21.0,4.75737,0.00226757,0.0686274,0.539683
Josias Oliveira,https://afolhabrasil.com.br/politica/dilma-entrara-na-justica-pra-anular-impeachment/,politica,2017-06-11,311,273,154,0,3,44,1,82,13,7,7,0,0,6,2.92308,1326,21.0,4.85714,0.00732601,0.15873,0.564103
Josias Oliveira,https://afolhabrasil.com.br/politica/carmem-lucia-esculacha-michel-temer/,politica,2017-06-11,380,323,186,0,4,45,2,90,24,18,3,0,0,18,5.18182,1730,29.3636,5.35604,0.0,0.311111,0.575851
Josias Oliveira,https://afolhabrasil.com.br/politica/policia-raspa-cabelo-de-assessor-de-temer-que-pegou-mala-da-friboi-com-r-500-mil/,politica,2017-06-10,304,269,151,8,5,48,4,78,11,6,7,0,0,13,3.88889,1326,29.8889,4.92937,0.00371747,0.134921,0.561338
Josias Oliveira,https://afolhabrasil.com.br/politica/michel-temer-declara-guerra-contra-lava-jato/,politica,2017-06-10,336,301,182,0,3,54,4,82,14,12,8,3,0,21,2.5,1512,21.5,5.02326,0.0,0.191176,0.604651
Josias Oliveira,https://afolhabrasil.com.br/politica/veja-aqui-o-telefone-e-e-mail-de-gilmar-mendes-demonstre-sua-indignacao/,politica,2017-06-09,136,129,90,0,3,19,5,43,4,5,2,0,0,11,0.5,634,9.21429,4.91473,0.0465116,0.145161,0.697674
Josias Oliveira,https://afolhabrasil.com.br/politica/joaquim-barbosa-pode-ser-o-substituto-de-temer-apos-o-impeachment/,politica,2017-06-08,349,302,182,0,4,42,1,76,21,27,4,6,0,22,2.61111,1490,16.7778,4.93377,0.0,0.40678,0.602649
Josias Oliveira,https://afolhabrasil.com.br/politica/bolsonaro-e-absolvido-pelo-conselho-de-etica/,politica,2017-06-07,224,198,127,0,12,26,0,63,10,4,5,0,0,8,2.36364,979,18.0,4.94444,0.0,0.157303,0.641414
Josias Oliveira,https://afolhabrasil.com.br/politica/marcela-temer-viajou-em-jato-emprestado-pelo-dono-da-friboi/,politica,2017-06-07,260,235,133,0,4,32,0,85,12,2,7,0,1,9,2.27273,1196,21.3636,5.08936,0.0,0.119658,0.565957
Josias Oliveira,https://afolhabrasil.com.br/politica/palocci-vou-delatar-tudo-sobre-o-lula/,politica,2017-06-06,554,499,246,0,8,77,1,145,15,20,21,0,0,28,2.3913,2396,21.6957,4.8016,0.0,0.157658,0.492986
Josias Oliveira,https://afolhabrasil.com.br/politica/mais-um-ministro-de-temer-na-cadeia/,politica,2017-06-06,236,216,140,0,5,23,0,68,11,6,4,0,0,8,1.81818,999,19.6364,4.625,0.0,0.186813,0.648148
Josias Oliveira,https://afolhabrasil.com.br/politica/movimentos-pela-volta-da-monarquia-crescem-no-brasil/,politica,2017-06-05,521,450,250,0,3,55,4,122,30,21,3,0,0,24,3.73684,2266,23.6842,5.03556,0.0,0.288136,0.555556
Josias Oliveira,https://afolhabrasil.com.br/politica/presidente-temer-teme-ser-assassinado/,politica,2017-06-05,243,215,141,0,1,37,2,63,12,7,7,3,0,12,2.0,1088,15.3571,5.06047,0.0,0.19,0.655814
Josias Oliveira,https://afolhabrasil.com.br/politica/assessor-de-temer-acaba-de-ser-preso-pela-policia-federal/,politica,2017-06-03,198,171,111,0,10,27,0,53,9,3,11,0,0,3,3.375,854,21.375,4.99415,0.0,0.15,0.649123
Josias Oliveira,https://afolhabrasil.com.br/politica/pt-defendera-aecio-neves-da-cassacao-de-mandato/,politica,2017-06-02,201,182,119,0,8,30,1,48,6,13,4,0,0,8,1.58333,807,15.1667,4.43407,0.0,0.24359,0.653846
None,https://afolhabrasil.com.br/politica/temer-cria-novo-imposto-pra-agradar-sindicatos/,politica,2017-06-01,192,173,108,0,1,30,0,47,16,2,7,0,0,10,1.9,860,17.3,4.9711,0.0,0.233766,0.624277
None,https://afolhabrasil.com.br/politica/silvio-santos-fara-danilo-gentili-pedir-desculpas-maria-do-rosario/,politica,2017-06-01,390,368,213,0,5,58,3,106,22,13,7,0,0,25,1.22222,1875,20.4444,5.09511,0.0,0.213415,0.578804
None,https://afolhabrasil.com.br/politica/eneas-sera-heroi-nacional-bolsonaro-protocolou-o-projeto-esta-semana/,politica,2017-05-31,183,152,114,0,1,21,1,53,8,3,2,0,0,7,2.81818,812,13.8182,5.34211,0.0,0.148649,0.75
None,https://afolhabrasil.com.br/politica/psc-desiste-de-bolsonaro-e-deve-lancar-outro-nome-para-o-planalto-em-2018/,politica,2017-05-30,243,214,129,0,6,34,3,61,6,12,5,0,0,17,3.22222,1030,23.7778,4.81308,0.0046729,0.189474,0.602804
None,https://afolhabrasil.com.br/politica/aecio-e-flagrado-falando-sobre-trafico-de-drogas-em-grampo-telefonico/,politica,2017-05-30,200,165,115,0,2,29,0,46,5,11,3,4,0,21,3.18182,718,15.0,4.35152,0.0,0.213333,0.69697
None,https://afolhabrasil.com.br/politica/temer-pode-entregar-o-poder-aos-militares-apos-renuncia/,politica,2017-05-30,570,522,289,0,7,81,2,150,35,22,20,0,0,19,1.77778,2587,19.3333,4.95594,0.0,0.246753,0.55364
None,https://afolhabrasil.com.br/politica/temer_policia_federal/,politica,2017-05-28,247,228,139,0,4,32,1,68,12,12,2,0,0,10,1.35714,1175,16.2857,5.15351,0.00438596,0.24,0.609649
None,https://afolhabrasil.com.br/politica/senado-esta-tramando-pra-livrar-lula-dilma-e-temer-da-cadeia/,politica,2017-05-27,392,335,212,0,7,51,1,103,20,14,8,0,0,11,4.07143,1688,23.9286,5.03881,0.00298507,0.220779,0.632836
None,https://afolhabrasil.com.br/politica/gilmar-mendes-caiu-na-lava-jato/,politica,2017-05-27,174,157,97,0,3,16,1,55,5,7,0,0,0,3,1.54545,744,14.2727,4.73885,0.0,0.169014,0.617834
None,https://afolhabrasil.com.br/politica/temer-desabafa-o-que-vou-dizer-aos-meus-filhos/,politica,2017-05-27,227,187,131,0,0,32,1,53,7,9,4,1,0,22,3.07692,866,14.3846,4.63102,0.0,0.188235,0.700535
None,https://afolhabrasil.com.br/politica/senado-quer-criminalizar-o-funk-no-brasil/,politica,2017-05-26,574,474,278,0,4,79,3,140,23,25,8,3,0,26,3.57143,2156,16.9286,4.54852,0.0147679,0.219178,0.586498
None,https://afolhabrasil.com.br/politica/caiu-mascara-do-prof-villa-da-jovem-pan/,politica,2017-05-24,96,85,63,0,2,11,0,27,1,1,1,0,0,2,1.57143,400,12.1429,4.70588,0.0,0.0526316,0.741176
None,https://afolhabrasil.com.br/politica/reinaldo-azevedo-desmascarado-pela-policia-federal/,politica,2017-05-23,304,275,170,0,0,45,1,88,9,8,8,0,0,18,1.8125,1344,17.1875,4.88727,0.00363636,0.12782,0.618182
None,https://afolhabrasil.com.br/politica/urgente-janot-pede-prisao-de-aecio-neves/,politica,2017-05-22,179,152,101,0,7,23,0,52,6,2,2,0,0,3,3.85714,812,21.7143,5.34211,0.0,0.106667,0.664474
None,https://afolhabrasil.com.br/politica/mae-que-furtou-ovo-de-pascoa-recebeu-pena-maior-que-reus-da-lava-jato/,politica,2017-05-22,347,311,178,0,3,46,0,87,19,5,7,0,0,13,2.0,1427,17.2778,4.58842,0.0,0.180451,0.572347
None,https://afolhabrasil.com.br/politica/delacao-da-friboi-coloca-em-risco-o-casamento-de-temer/,politica,2017-05-22,176,160,94,0,1,29,0,48,2,7,7,0,0,9,1.77778,754,17.7778,4.7125,0.0,0.116883,0.5875
None,https://afolhabrasil.com.br/politica/amigos-de-aecio-temem-que-ele-cometa-suicidio/,politica,2017-05-22,617,560,309,0,7,110,5,120,38,35,20,2,1,62,1.32558,2565,13.0233,4.58036,0.0,0.317391,0.551786
None,https://afolhabrasil.com.br/politica/temer-reduz-equipe-da-lava-jato-e-corta-verba-da-policia-federal/,politica,2017-05-21,842,720,371,0,18,94,0,210,18,36,9,1,0,27,3.69697,3343,21.8182,4.64306,0.0,0.177632,0.515278
